id,energy_client,energy_server,total_energy,training_time,average_power_client,average_power_server,total_time,partition_point,model,name
resnet101_0,0.59721153287037,1.034604259259258,1.631815792129628,9772.340009530386,85.60579182794909,148.2378583496478,25129.666666666668,0,resnet101,resnet101_0
resnet101_1,0.3111164912037041,0.7208775527777761,1.0319940439814803,6391.943955341975,93.21110280072406,216.47389380128467,12066.333333333334,1,resnet101,resnet101_1
resnet101_2,0.4327587865740743,0.6495143287037045,1.082273115277779,5786.48369884491,132.45937000907728,198.31204434043616,11822.0,2,resnet101,resnet101_2
resnet101_3,0.5277206087962961,0.563811202777778,1.091531811574074,5637.765915393829,174.85209463521804,186.4487942804853,10974.666666666666,3,resnet101,resnet101_3
resnet101_4,0.9029755393518528,0.3098852578703706,1.2128607972222236,6276.372406164805,296.6773276023084,101.69225761256548,10973.0,4,resnet101,resnet101_4
resnet101_5,0.940376376851852,0.272075850462959,1.212452227314811,6440.2197597026825,312.7858079367502,90.40901220355512,10835.0,5,resnet101,resnet101_5
resnet101_6,0.9279518236111142,0.2645087953703725,1.1924606189814868,6315.123253901799,318.7717107791248,90.76778472709708,10491.666666666666,6,resnet101,resnet101_6
resnet101_7,0.9631623152777758,0.2798522574074025,1.2430145726851782,11449.620044708252,301.1723895429127,87.46042186467322,11526.666666666666,7,resnet101,resnet101_7
resnet152_0,0.6646759791666635,1.2968869268518577,1.961562906018521,12323.887028932571,86.12817403869917,168.00847007191734,27794.666666666668,0,resnet152,resnet152_0
resnet152_1,0.3433811800925921,0.9379886777777788,1.281369857870371,8825.872308095297,90.01702502799661,245.6958986262794,13747.333333333334,1,resnet152,resnet152_1
resnet152_2,0.4686892624999996,0.8774186842592612,1.3461079467592605,8285.419960737228,122.96011767526396,230.0097164292596,13736.333333333334,2,resnet152,resnet152_2
resnet152_3,0.7028979972222219,0.7372285972222216,1.4401265944444437,8547.056514024734,190.97512870106107,200.10981092798505,13263.666666666666,3,resnet152,resnet152_3
resnet152_4,1.355915609259261,0.4176409361111096,1.7735565453703706,11320.47714861234,310.5822651235416,95.59377214767473,15730.333333333334,4,resnet152,resnet152_4
resnet152_5,1.3949189578703685,0.3866394861111142,1.7815584439814824,11567.513373692833,322.44841050660483,89.3202999905597,15587.0,5,resnet152,resnet152_5
resnet152_6,1.3835125212962984,0.3822564578703649,1.7657689791666635,11508.047727823256,325.4856041446357,89.8358360705386,15333.666666666666,6,resnet152,resnet152_6
resnet152_7,1.4134596402777768,0.3966128837962959,1.810072524074073,16243.537087519964,311.53580861511085,87.35789969805012,16348.0,7,resnet152,resnet152_7
resnet50_0,0.5689434912037049,0.8332148384259269,1.4021583296296318,8925.711012204489,87.33155087890104,127.86664165735556,23465.33333333333,0,resnet50,resnet50_0
resnet50_1,0.2444471115740738,0.4802748555555544,0.7247219671296282,4207.066705703735,92.00686857480648,181.26352815978245,9583.0,1,resnet50,resnet50_1
resnet50_2,0.3666285560185174,0.4007098148148161,0.7673383708333338,3530.653474489848,145.92830144432082,159.30877395634317,9058.0,2,resnet50,resnet50_2
resnet50_3,0.4682192967592595,0.3075716347222225,0.775790931481482,3645.979336897532,207.068140369929,135.90171838168294,8152.333333333333,3,resnet50,resnet50_3
resnet50_4,0.5304831750000009,0.2042230041666668,0.7347061791666677,3427.4329522450766,281.68244552709314,108.29200766769738,6791.333333333333,4,resnet50,resnet50_4
resnet50_5,0.5605475203703704,0.1654820148148179,0.7260295351851882,3449.1113662719727,301.4941894885381,88.85262498306042,6704.666666666667,5,resnet50,resnet50_5
resnet50_6,0.5527746388888889,0.1609729958333326,0.7137476347222216,3339.183417638143,310.70055874401027,90.11389152683584,6431.333333333333,6,resnet50,resnet50_6
resnet50_7,0.5833954157407405,0.1857254958333321,0.7691209115740728,7311.621647516887,284.2218118175664,90.17132501314283,7415.333333333333,7,resnet50,resnet50_7
